,n,k,t,speed,g
158,1023,778,25,0.7605083088954057,3C0F31BF4831DE91D570E06959C943D1BBCF25AD647C72E04811856B79A271
159,1023,768,26,0.750733137829912,C405F08E6F047DB93A6B177A5D2A4AD2395AF33E42205ED9D2A9B5AB3E1B0837
160,1023,758,27,0.7409579667644184,3B26CFCA73CE28B1CA88688F1B26CC1516FF81518226EE9BCB2F3A87751303589BD
161,1023,748,28,0.7311827956989247,A700EBA018193D3F10E3CD414B60E0DD55AD8A17C02308577AAC4A5F17ECC5FFFD38F
162,1023,738,29,0.7214076246334311,3F1154D79F7C94B23686E83CEBC671415A0892BDE1B00E06BE192C7BA1BF88DE5F1F2ABF
163,1023,728,30,0.7116324535679375,B8A20A033D0B2CF2C7AA9A9B1B220A01F3502A4A94D11B4FB523A2650CBEF0439FE824BE57
164,1023,718,31,0.7018572825024438,344403676B3C051BDE7AD2B7F754CB67B7E863FD12501CA6AE11A7C1CBC01E7E779355AFAF629
165,1023,708,34,0.6920821114369502,A475FE99E3EFB04FFBB89BB0E12AE63359AF7F7CA74BD69B6FC9ED9AACA28961B045792DAD7B865
166,1023,698,35,0.6823069403714564,24E21F1EA7CBEAAF4599326DC9DBF9E8D76F74D903CB4D9CB27971FB679FDE886A4D33A3F88DBC62A5
167,1023,688,36,0.6725317693059628,C326CDDFE33B928AEB6B40B14884C56819001B5C329431EDB644DC1580B9825C4C01789FCAC97564A87F
168,1023,678,37,0.6627565982404692,27B7022094EC5BBEB9E5A03F9BF44F518510F460305D4756EEE4CFD798B81C38D62E2339359B8692C4C3BBD
169,1023,668,38,0.6529814271749755,BADBC79F295A17A0790FEFA34F865974B1B1DFC8D33EF6962C66246519DD05AD6F67F61E16883A1591F938D0B
170,1023,658,39,0.6432062561094819,255AD6B97D40377A47E733E638E3384864F29FC758029986196E92EBEF94D9C3B4E32B9CC9E270BDD4420191D845
171,1023,648,41,0.6334310850439883,8AC15AE1152A0DE182BDC97504737DB74D2F1928A583D246BE357DC15C0048AAD8573DFB3E4187C2459C08DD3526BB
172,1023,638,42,0.6236559139784946,3F8157F96D32EF99C76C3803D502A6C82E85F43F6D9FC6FA0C5B1C7FC6C25DB523763A5859A428E5A988D5AE9A56F7CFD
173,1023,628,43,0.613880742913001,D11A70B9DA2F015A85E5CEA595E2CA4EF0B83A1E0A4810815E29A5F5B04ADD467C2002248C03E9E20951668051744E23E33
174,1023,618,44,0.6041055718475073,31EFBAF60842B129A7AB665D671380A173FE7821A40CE46F10B9748DB2D2EB0DC2405291A55E2B5A751FAAAB3FBECDA29B96EB
175,1023,608,45,0.5943304007820137,D0B9AD950586D67D629E159A324760745B9D5E74D50A326BF2EF8C5405A7715365DAB33EC0AF4A7753AC31AC4C8E3789C10EED61
176,1023,598,46,0.5845552297165201,29F47CBC4AE2EB4160C99B238A32731EB9F7EFC0EE4C973DDD25CB720DBFD3CC9AA26BE3212691782756CE4E7DD4439906C551FD455
177,1023,588,47,0.5747800586510264,C579F08A593497A03D1BF07D2E0899824F0278A791865328B3AED5C90AAEE092F778AB2E59F364CFC18F1C6B604AB879651BC6694D433
178,1023,578,49,0.5650048875855328,33FC61E281A840F55DC4337D5DFF779A66D5A3839699F8D127E582D6DA465F31FE7F90910ADB11862FEA9E657F3D078AD7D7BE42D838C25F
179,1023,573,50,0.5601173020527859,5DBBF07D5ABD5D334F599C00CF1E5CC2D87C622C15B6D7D017550FB96EB7D88B5D375E8C6C2D25C35CC6FF1C269C39F43A0AA17BA8C3E218D
180,1023,563,51,0.5503421309872922,17E9E3448A3477DAB3085B08F20112D5AE5846A0E28835E8C4F4E365E00A84F42E3BBC130E38CC329CC4AC968932B6DFFEA69A4EE9E5A275AE71
181,1023,553,52,0.5405669599217986,611373263F16D5632D4D72C61F4D0625E154B71DA31FE84EF6D2C2CFE756B39083EF1F927F47DF49673340E5DC80BDC55917D3B71662B784C1864D
182,1023,543,53,0.530791788856305,116D69838505620B27D86076D011972F9AFA3F1DBE8B932565395114428BEE22139F15C68BC0824467834FA0940D4EC897963B4E4ED7F705ABA145663
183,1023,533,54,0.5210166177908113,609552E42803C0AB9DB8C8412332A193E11FC25F74E8924AF361FED6E5B588FDBC60CDB9D162F1F4E538B617E2D9EF0C4331964A244A260354175999DEB
184,1023,523,55,0.5112414467253177,18F640B7099D771F8578412756F454F1903FBAE79A171C09D6733E1796AD89A53B63A0D305291B538C6FE659F10908C5DA169FF02235C2A3F3273E9D88C0F1
185,1023,513,57,0.501466275659824,6442EC3B4D91F1512C67180592F81F482F42BE46DFD6FFC1AB4D9178FECC6AFD1FADF59490B3C1021EF62EBECD65EAB30D108A63921F784AEB722F7B3F26B643
186,1023,503,58,0.4916911045943304,1D5892E0573F16400C05E95D88756005FF1E906F81E8B502CD283F3B7BFE5C02C2876844A8AE78ABC81816D40200115E234CEAE199676BFB28E963720264DD551D9
187,1023,493,59,0.48191593352883677,7AEC17DA90FEE4E076B925EE8CA3B87576030A9C2CC6A8C76A420945051DB77653A0DF9EDD89E4CD8D6509F73D324C59D1983BE55DEA309AA730083ECA96141C54A01
188,1023,483,60,0.47214076246334313,10425E0D2D400F93D0E7D050327DBBDAE0AC0D00D66794C91A354430AE87CCEFD30791CC4C20468D9AE2DA185929CDAB128D17C8BCBD1E3A5ABCFE25354739693EDFA85B
189,1023,473,61,0.46236559139784944,6BD56F73FF4AE77D8B0D44F302E3826B6B08ED01868D74A58DA518E136CA22EC76CB488362B15D6B80A74618B8CAAFFAD544FAC9B9705B1D1E06D2F27813394121CDCEA561
190,1023,463,62,0.4525904203323558,115FC8FC3B0FF50E0141907D2CF8654B4CCE10539884C15465D2CBE31722C84896B6A8448985F369950FE016CB9412FB47D5FEF2A7C7FF4B996EE5722BD808E6AB65C785ED471
191,1023,453,63,0.44281524926686217,6B29FB81755F361589748CBF4A7F8C2994BC23C42AE153C72316BD88DF80454D51D7B90017362BE8B8714798789CF7CA19A45314D825C4313613FA2C15E1EC15E29C66F8678D6B1
192,1023,443,73,0.43304007820136853,18A665FD3869AFF48AE79651385129E3AC61705B20E3C216F2FB66F304CCBA9CD4CDCC19751C7A4E3D1820C2B422FF9C32805E16E24C3B06825534FFDBF2BB4FF275BCD941493F196F
193,1023,433,74,0.4232649071358749,6B48FC17749FB4445FFEC04F8869C0FA895FE46F517E134D2ADF501D97CF954D9FDA8870AA12CB84A52826E6ACD3DF5754DDC8C166B5653710380A6071DAE4AE3D97FB0DABB52FF7CA0B
194,1023,423,75,0.41348973607038125,17CC0ECBE06AEA3B8D0D96864B85BD0D38FF98750C0070CC455EFB75CC2157739E2C2290D44CDCC460293DC84FC3A62A48586C4E085286810FAC365C4C27544D87862AD8A1800D35FE87897
195,1023,413,77,0.40371456500488756,658A65A416F9A10FE90C5ED5BDA3013F00D9C5DDF08D5C0C9E7661DCA8AEAFE3DA9F4582A7BBC11968BABFFD2EFDC5B49ACA500FB6BF93D18EBEA968313C603D6BE5977AA811A22273B8C8F77
196,1023,403,78,0.3939393939393939,1AB1431BE56E45430DD37B14EE7B95F4CA416DAC9B6169209CD41BEC85A15E652016F39120E5FF903E98D98B59D0F5F56A559BAE8857537D991896FDBF3F0E38D612CED940EA4F16F88A62037DAF
197,1023,393,79,0.3841642228739003,75746E0C0625C9524528C8B56B8505F5F390651BD226123CBE682D2B735BB2B5CA2AD3CBF531C03AFD39FD5344F9F752803072FB5DCF6355427C176770D3ADF12ED5BEF49AA2C5C3F75DF37825A6A9
198,1023,383,82,0.37438905180840665,1106DCE8672F33DD1FE00AA2E67E7B44384DC8E5A7516B0001ECE6C9047A4D52BC7F016D18B4EA1C99BC1839B0D58F9C9253093F48BC354F72A0E4AC7EBF1A482DADDF2F5210C57A43FEF5EF2287BC62F
199,1023,378,83,0.36950146627565983,2B9EBA6A7BBB0D6961CE10BE91A42C9E2F39A937C77F75300331709A1A8E18D90D06727A6CB8EF96B63DFDEC22CC800EA4AAA672C1ADB36DAB3BB54405CA4810CF578C3BF808E41E023D7E772664DD32B7
200,1023,368,85,0.3597262952101662,B6E485231B9F6C276E2BBFA752B7843FA5D1FF47D34C2B7E5DC14C88AD0A59812BBCCFB47A78A84F28185058E0F56DBF44E7622D3566E355CA9463C0185525144D6E642C6EAC509E8B0626D1CCF8560D0009
201,1023,358,86,0.34995112414467255,3C74A2FABA5C21C7489C1695592CAEE24DB649A1A90D9F9B800D3904F7C8B1E55AA635C02F8F1D0DDA493667BF61C0B855169648898F748F7842207629B7AAD2F7D9A5721B5B5A0B9CDA963B327CB11159130A5
202,1023,348,87,0.34017595307917886,9A8D1788F5216BF6DF178C2C39E2F2558155D6563B6F7CA986ABDD2E00A06550E1D40B6BBE4C2382D47146ADC31D24AEAFEB273064EF7CE45392A4F7FA0D009C72CB3FCF3F8F4848B479E23933818B25C571AB9C3
203,1023,338,89,0.3304007820136852,38EC13C8B5DFE09A0E9B6970F4C4CD82BE98D64B402B6606311AFA71DE5362AC041AE11DA7C77E6FCD8484C7EDC0AED8D790B788B7E2BE1A7C4B561AC8CE7D29D6B3B9EB4AB5695F478970EC81725FF952417BD43857
204,1023,328,90,0.3206256109481916,8FE1EDDA6B3493F56A6C83B8B7AA296F4F54C0FA31AF9741896AAD35D5EE36C9D677FB2AF3E946DA5A78F85162E0746684C0FFFC26B62C1EFE004EB51A4C8DF47B9366F8ABFADD4F978858EACF1E0F4B7767EFB7F8236F
205,1023,318,91,0.31085043988269795,3C6BC3F19A58F26D91AE1F2BBF7764D46A78F05EC7C37BFC3CEBCFE131B89B62A344FBAED9925C74C25526AC5ABF74E628AF5F6F5CCC150850193DBB1AA0ABD6CB93C42DA6AFBBF439DE3EF7B7CCA9A1813096B87F2BA2979
206,1023,308,93,0.3010752688172043,B44506809F9F924C98336776B383C135992E7CCB39213048A3C2A2B73A322F3650AC1B77323FF838A7F6F381A26C895B58D2AA6BE0146FFACB7F367CBCF3352DE4D539BDDC0A1030C07953897CDE5E75EF1DF67D9756E29FAA7
207,1023,298,94,0.2913000977517107,3E1D9C55F8C6F4556624A1E765CB4EAE2798FA350ED8B9C66F34256C16A670FBD24AC4AFF9E652C9759F57DF89B76ADDA48BD304E74131233CF5BADDA5A1C1B9B32E3888D6C954AEA12EADCEE18254D213791A41C33973366C91BB
